iter	Passed	Remaining
0	1	152
1	2	143
2	4	136
3	5	126
4	7	134
5	8	139
6	10	138
7	11	135
8	13	131
9	14	128
10	15	127
11	17	125
12	18	123
13	19	121
14	21	119
15	22	117
16	23	115
17	25	114
18	26	112
19	27	110
20	28	109
21	30	107
22	31	105
23	33	105
24	34	104
25	36	102
26	37	101
27	38	100
28	40	98
29	41	97
30	43	95
31	44	93
32	45	92
33	46	90
34	47	88
35	49	87
36	50	86
37	51	84
38	52	82
39	53	80
40	54	78
41	55	76
42	56	74
43	57	72
44	58	70
45	59	69
46	60	68
47	61	66
48	62	65
49	63	63
50	64	62
51	65	60
52	66	59
53	67	57
54	68	56
55	69	54
56	70	53
57	71	51
58	72	50
59	73	49
60	74	47
61	75	46
62	76	45
63	77	43
64	78	42
65	79	41
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	86	33
72	87	32
73	88	31
74	89	29
75	91	28
76	92	27
77	93	26
78	94	24
79	94	23
80	95	22
81	96	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	7
94	110	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
